hazard_id,hazard_family,hazard,severity,likelihood,primary_detection_posture,primary_mitigation_posture,validation_target,notes
HZ-001,H-1,primary_oxygen_path_loss,S5,L2,pressure_plus_o2_state_plus_path_feedback,preserve_loop_guarded_reserve_policy_escalate_state,VAL-006,major_survival_hazard
HZ-002,H-1,reserve_oxygen_unavailable_when_needed,S5,L2,actuation_path_health_plus_state_logic,reserve_health_checks_latching_guarded_triggers,VAL-006,last_line_continuity_hazard
HZ-003,H-2,co2_control_degradation_not_recognized_early,S5,L3,co2_sensing_plus_confidence_model,conservative_alerts_simplified_fallback_service_blockers,VAL-005,misleading_partial_failure_risk
HZ-004,H-3,gas_leak_or_abnormal_pressure_loss,S5,L2,pressure_trend_and_routing_consistency,isolate_what_can_be_isolated_escalate_preserve_oxygen_logic,VAL-004,structural_or_routing_hazard
HZ-005,H-4,B1_or_B2_collapse_from_branch_fault_or_brownout,S5,L3,bus_health_plus_local_protections,segmentation_precharge_branch_protection_shedding,VAL-002,power_spine_core_hazard
HZ-006,H-5,PMU_or_converter_heat_drives_hidden_control_degradation,S4,L3,thermal_sensing_plus_control_confidence,thermal_zoning_derate_ladder_safe_hold_pressure,VAL-009,thermal_control_coupling_hazard
HZ-007,H-6,PEM_runs_when_not_affordable,S4,L2,resource_gate_cross_checks,deny_logic_B3_isolation_conservative_bias,VAL-007,regen_can_shorten_survival_if_mismanaged
HZ-008,H-6,water_falsely_credited_as_PEM_feedstock,S4,L3,water_class_and_conditioning_evidence,qualification_gate_deny_if_uncertain,VAL-008,anti_hand_waving_hazard
HZ-009,H-7,watchdog_and_supervisor_disagree_on_safe_action,S4,L2,direct_state_control_contradiction,confidence_collapse_handling_escalate_latch,VAL-010,control_ambiguity_hazard
HZ-010,H-7,sensor_disagreement_hidden_from_crew,S4,L3,sensor_voting_plus_confidence_tracking,degraded_confidence_alerts_deny_rich_optimization,VAL-005,trust_and_operator_awareness_hazard
HZ-011,H-5,thermal_ladder_too_slow_causing_late_derate,S4,L2,hot_zone_trends_plus_response_timing,earlier_thresholds_buffer_validation_attack_cases,VAL-009,late_response_hazard
HZ-012,H-8,service_readiness_gap_allows_degraded_pack_to_leave_airlock,S5,L3,S9_blocker_logic_plus_record_review,go_no_go_rules_calibration_evidence_maintenance_workflow,VAL-013,sustainment_is_real_safety_architecture
HZ-013,H-4,rescue_solar_path_instability_contaminates_core_power_behavior,S3,L2,solar_input_validity_plus_bus_response,clean_drop_logic_source_isolation,VAL-011,conditional_source_hazard
HZ-014,H-7,false_recovery_or_state_thrash_under_noisy_inputs,S4,L3,transition_history_plus_hysteresis_checks,latches_guarded_recovery_anti_thrash_logic,VAL-012,fdir_seriousness_hazard
